,chestcircumference,waistcircumference,weightkg,stature,t_shirt_size
988,1098,1065,886,1660,4
989,924,847,652,1568,3
990,1032,1020,826,1639,4
991,923,790,556,1591,3
992,934,887,719,1628,3
993,1077,975,822,1615,4
994,1098,1100,965,1680,4
995,907,896,624,1590,3
996,726,660,435,1563,1
997,1090,1021,753,1641,4
998,836,790,553,1710,2
999,901,816,578,1566,2
1000,1023,966,713,1573,3
1001,980,966,776,1669,3
1002,976,809,655,1607,3
1003,922,787,578,1633,3
1004,1126,907,843,1699,4
1005,892,877,670,1638,3
1006,1000,878,764,1634,3
1007,864,734,663,1660,2
1008,880,861,671,1604,3
1009,980,885,706,1693,3
1010,936,820,636,1595,3
1011,882,796,646,1694,2
1012,934,835,658,1626,3
1013,1021,922,789,1613,3
1014,887,769,585,1614,2
1015,900,812,589,1630,2
1016,1035,973,785,1716,4
1017,1013,952,676,1510,3
1018,1100,1113,862,1639,5
1019,981,907,605,1576,3
1020,1095,1068,950,1677,4
1021,985,843,649,1669,3
1022,884,755,616,1592,2
1023,1030,910,715,1606,3
1024,1012,943,765,1597,3
1025,890,819,652,1610,2
1026,878,905,773,1811,3
1027,1028,1018,734,1639,4
1028,825,757,549,1635,2
1029,1041,893,802,1751,4
1030,1023,849,695,1626,3
1031,949,768,647,1688,3
1032,914,850,657,1588,3
