,stature,weightkg,t_shirt_size
1084,1688,735,3
1085,1524,544,2
1086,1611,678,3
1087,1627,648,3
1088,1614,663,3
1089,1598,779,3
1090,1643,702,3
1091,1611,592,2
1092,1520,563,2
1093,1697,927,4
1094,1640,801,3
1095,1672,772,3
1096,1662,704,3
1097,1601,590,2
1098,1580,640,3
1099,1676,842,3
1100,1536,546,2
1101,1561,715,3
1102,1475,575,2
1103,1532,522,1
1104,1646,725,3
1105,1657,517,2
1106,1648,631,2
1107,1586,537,2
1108,1609,597,2
1109,1562,607,3
1110,1507,577,2
1111,1468,499,2
1112,1636,687,3
1113,1585,680,3
1114,1607,632,3
1115,1657,776,3
1116,1606,638,3
1117,1705,783,3
1118,1605,602,2
1119,1666,771,3
1120,1635,617,2
1121,1498,462,2
1122,1619,591,2
1123,1559,574,2
1124,1639,621,2
1125,1574,618,3
1126,1530,518,2
1127,1552,631,2
1128,1572,653,3
1129,1670,646,2
1130,1574,569,1
1131,1636,661,3
1132,1575,598,3
1133,1676,533,2
1134,1705,755,4
1135,1603,702,3
1136,1593,655,3
1137,1611,644,2
1138,1673,680,3
1139,1689,715,2
1140,1529,499,2
1141,1602,523,2
1142,1764,740,4
1143,1648,750,3
1144,1587,604,3
1145,1492,430,1
1146,1567,750,4
1147,1563,716,3
1148,1663,723,3
1149,1617,765,3
1150,1683,660,2
1151,1636,600,2
1152,1628,695,3
1153,1536,637,3
1154,1530,602,3
1155,1678,815,3
1156,1682,773,3
1157,1585,537,2
1158,1588,672,2
1159,1718,698,2
1160,1655,809,4
1161,1705,722,2
1162,1608,630,3
1163,1607,654,2
1164,1490,484,2
1165,1563,653,3
1166,1677,669,2
1167,1615,668,3
1168,1570,672,2
1169,1563,597,2
1170,1627,658,3
1171,1743,657,2
1172,1635,681,3
1173,1699,894,4
1174,1503,643,2
1175,1637,857,4
1176,1544,560,2
1177,1493,613,2
1178,1645,662,3
1179,1707,719,3
1180,1611,586,2
1181,1543,576,2
1182,1604,560,2
1183,1588,616,2
1184,1543,533,2
1185,1630,678,3
1186,1674,776,3
1187,1560,658,3
1188,1620,666,3
1189,1613,549,2
1190,1541,539,2
1191,1595,814,4
1192,1600,611,3
1193,1690,777,3
1194,1612,725,3
1195,1559,664,3
1196,1678,806,4
1197,1608,522,2
1198,1559,478,1
1199,1683,845,4
1200,1586,685,3
1201,1646,646,3
1202,1656,679,2
1203,1515,509,2
1204,1754,745,3
1205,1699,670,3
1206,1573,573,3
1207,1657,597,2
1208,1655,665,3
1209,1502,505,2
1210,1653,749,3
1211,1633,756,3
1212,1585,634,3
1213,1632,768,3
1214,1616,804,3
1215,1670,762,3
1216,1632,526,2
1217,1648,653,2
1218,1576,726,4
1219,1606,557,2
1220,1652,599,2
1221,1625,759,3
1222,1598,607,3
1223,1618,669,4
1224,1674,697,3
1225,1563,614,3
1226,1728,742,3
1227,1590,671,3
1228,1636,577,2
1229,1655,803,3
1230,1707,634,3
1231,1676,681,2
1232,1633,734,3
1233,1607,672,3
1234,1618,662,3
1235,1708,703,2
1236,1735,709,2
1237,1715,586,2
1238,1570,493,3
1239,1642,733,3
1240,1788,996,5
1241,1600,648,3
1242,1675,729,3
1243,1634,902,5
1244,1576,754,4
1245,1599,654,2
1246,1598,708,2
1247,1548,647,3
1248,1607,631,2
1249,1686,666,2
1250,1640,667,2
1251,1563,497,2
1252,1591,558,2
1253,1678,921,4
1254,1670,695,3
1255,1529,563,3
1256,1616,603,2
1257,1620,647,3
1258,1510,642,3
1259,1626,701,3
1260,1600,583,2
1261,1679,843,4
1262,1600,696,4
1263,1618,735,4
1264,1629,470,2
1265,1651,608,2
1266,1596,515,2
1267,1654,717,3
1268,1776,889,4
1269,1546,532,2
1270,1676,747,3
1271,1585,622,3
1272,1594,574,2
1273,1629,565,2
1274,1581,646,3
1275,1614,529,2
1276,1559,648,3
1277,1697,751,3
1278,1674,740,3
1279,1692,758,4
1280,1615,554,2
1281,1762,852,4
1282,1573,814,4
1283,1674,824,4
1284,1531,503,2
1285,1505,607,3
1286,1700,692,3
1287,1539,640,3
1288,1620,650,2
1289,1712,580,2
1290,1554,601,3
1291,1598,601,2
1292,1612,664,3
1293,1707,703,2
1294,1611,616,3
1295,1599,654,3
1296,1569,589,2
1297,1663,524,2
1298,1666,706,3
1299,1659,676,2
1300,1543,623,3
1301,1571,628,3
1302,1618,503,1
1303,1610,599,2
1304,1512,508,1
1305,1555,520,2
1306,1729,831,4
1307,1593,622,3
1308,1609,706,3
1309,1648,667,3
1310,1631,730,3
1311,1712,842,4
1312,1541,549,2
1313,1663,609,2
1314,1614,670,3
1315,1598,711,3
1316,1617,655,3
1317,1658,771,3
1318,1642,668,3
1319,1698,707,3
1320,1648,757,4
1321,1756,857,3
1322,1651,678,3
1323,1634,630,2
1324,1709,745,2
1325,1686,564,2
1326,1645,721,3
1327,1565,646,3
1328,1537,444,1
1329,1511,591,2
1330,1649,696,3
1331,1458,445,1
1332,1759,726,2
1333,1558,707,3
1334,1688,643,3
1335,1581,654,2
1336,1583,626,3
1337,1643,736,3
1338,1752,853,4
1339,1600,750,3
1340,1618,797,4
1341,1710,837,4
1342,1585,590,2
1343,1595,512,2
1344,1614,621,3
1345,1663,810,4
1346,1617,614,3
1347,1596,544,2
1348,1602,603,2
1349,1694,792,3
1350,1510,618,3
1351,1534,603,3
1352,1634,885,4
1353,1679,842,4
1354,1618,798,3
1355,1658,634,3
1356,1643,561,2
1357,1652,774,3
1358,1615,730,3
1359,1674,850,3
1360,1527,643,3
1361,1518,505,2
1362,1653,729,2
1363,1659,835,4
1364,1570,463,1
1365,1570,802,5
1366,1653,951,5
1367,1712,582,2
1368,1519,703,3
1369,1702,1019,5
1370,1627,645,2
1371,1516,721,4
1372,1583,661,4
1373,1647,589,2
1374,1594,528,2
1375,1617,623,2
1376,1674,896,5
1377,1605,833,4
1378,1649,916,4
1379,1603,677,2
1380,1620,535,2
1381,1584,712,4
1382,1579,527,2
1383,1608,721,4
1384,1656,589,3
1385,1639,731,3
1386,1630,620,2
1387,1615,695,4
1388,1584,620,3
1389,1664,669,3
1390,1545,543,2
1391,1688,648,3
1392,1673,625,2
1393,1647,643,2
1394,1637,736,3
1395,1787,824,4
1396,1503,701,3
1397,1562,699,4
1398,1558,754,3
1399,1576,647,3
1400,1628,666,3
1401,1748,831,4
1402,1572,632,3
1403,1743,746,3
1404,1561,589,3
1405,1623,643,3
1406,1649,705,3
1407,1661,760,4
1408,1668,680,3
1409,1722,695,3
1410,1674,868,4
1411,1663,653,2
1412,1543,804,3
1413,1561,673,3
1414,1587,516,1
1415,1495,526,3
1416,1645,914,5
1417,1653,919,4
1418,1685,757,4
1419,1569,717,4
1420,1656,738,3
1421,1672,769,3
1422,1622,692,3
1423,1664,609,2
1424,1636,596,2
1425,1666,740,4
1426,1558,804,4
1427,1674,934,4
1428,1534,568,3
1429,1630,626,3
1430,1671,738,3
1431,1789,808,3
1432,1553,624,2
1433,1673,775,3
1434,1598,631,2
1435,1798,875,3
1436,1641,650,2
1437,1718,650,2
1438,1568,638,3
1439,1652,642,3
1440,1676,698,3
1441,1595,831,4
1442,1697,962,4
1443,1703,930,5
1444,1567,489,2
1445,1554,536,2
1446,1645,629,3
1447,1625,510,2
1448,1560,654,3
1449,1501,588,3
1450,1617,650,3
1451,1660,679,2
1452,1635,719,4
1453,1621,920,4
1454,1596,618,2
1455,1649,712,3
1456,1590,643,3
1457,1630,793,3
1458,1505,575,3
1459,1590,686,3
1460,1613,688,3
1461,1620,778,3
1462,1687,765,4
1463,1613,590,2
1464,1648,626,3
1465,1820,908,3
1466,1613,500,2
1467,1719,688,3
1468,1543,567,3
1469,1674,622,2
1470,1662,707,3
1471,1612,685,3
1472,1605,571,2
1473,1560,846,4
